nohup: ignoring input
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1789848598.691786  706959 cpu_feature_guard.cc:227] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
Datasets: dataset
Models: velocity_threshold, extension_threshold, random_forest, lstm, gru

=== dataset: 69,277 frames ===
[ 59%] dataset 79/135 · fold02_P002 gru w30 · 23m02s elapsed, ~16m20s left
[ 59%] dataset 80/135 · fold03_P003 lstm w30 · 23m35s elapsed, ~16m13s left
[ 60%] dataset 81/135 · fold03_P003 gru w30 · 24m08s elapsed, ~16m05s left
[ 61%] dataset 82/135 · fold04_P004 lstm w30 · 24m42s elapsed, ~15m58s left
[ 61%] dataset 83/135 · fold04_P004 gru w30 · 25m16s elapsed, ~15m49s left
[ 62%] dataset 84/135 · fold05_P005 lstm w30 · 25m48s elapsed, ~15m40s left
[ 63%] dataset 85/135 · fold05_P005 gru w30 · 26m22s elapsed, ~15m30s left
[ 64%] dataset 86/135 · fold06_P006 lstm w30 · 26m57s elapsed, ~15m21s left
[ 64%] dataset 87/135 · fold06_P006 gru w30 · 27m28s elapsed, ~15m09s left
[ 65%] dataset 88/135 · fold07_P007 lstm w30 · 28m02s elapsed, ~14m58s left
[ 66%] dataset 89/135 · fold07_P007 gru w30 · 28m41s elapsed, ~14m49s left
[ 67%] dataset 90/135 · fold08_P008 lstm w30 · 29m13s elapsed, ~14m36s left
[ 67%] dataset 91/135 · fold08_P008 gru w30 · 29m46s elapsed, ~14m23s left
[ 68%] dataset 92/135 · fold09_P009 lstm w30 · 30m19s elapsed, ~14m10s left
[ 69%] dataset 93/135 · fold09_P009 gru w30 · 30m55s elapsed, ~13m58s left
[ 70%] dataset 94/135 · fold10_P010 lstm w30 · 31m24s elapsed, ~13m42s left
[ 70%] dataset 95/135 · fold10_P010 gru w30 · 31m53s elapsed, ~13m25s left
[ 71%] dataset 96/135 · fold11_P011 lstm w30 · 32m24s elapsed, ~13m09s left
[ 72%] dataset 97/135 · fold11_P011 gru w30 · 32m55s elapsed, ~12m53s left
[ 73%] dataset 98/135 · fold12_P013 lstm w30 · 33m33s elapsed, ~12m40s left
[ 73%] dataset 99/135 · fold12_P013 gru w30 · 34m17s elapsed, ~12m28s left
